canonical,meaning,summary,source_volume,source_headword
〜はず,A dependant noun which expresses the speaker’s expectation that something will take place or took place or that someone/something is or was in some state.,A dependant noun which expresses the speaker’s expectation that something will take place or took place or that someone/something is or was in some state.,Basic,はず
〜ばよかった,A phrase which expresses the speaker’s regret.,A phrase which expresses the speaker’s regret.,Basic,ばよかった
〜まで,"A particle to indicate a spatial, temporal or quantitative limit or an unexpected animate/inanimate object.","A particle to indicate a spatial, temporal or quantitative limit or an unexpected animate/inanimate object.",Basic,まで
〜までに,A particle that indicates a time limit on/for an action.,A particle that indicates a time limit on/for an action.,Basic,までに
〜ようだ,An auxiliary な type adjective which expresses the likelihood of something/someone or the likeness of something/someone to something/someone.,An auxiliary な type adjective which expresses the likelihood of something/someone or the likeness of something/someone to something/someone.,Basic,ようだ
〜ようと思う,The speaker desires or decides to do something.,The speaker desires or decides to do something.,Basic,ようと思う
〜ようにする,Someone causes some circumstantial or behavioural change to take place.,Someone causes some circumstantial or behavioural change to take place.,Basic,ようにする
〜ようになる,Some change takes place gradually.,Some change takes place gradually.,Basic,ようになる
〜らしい,"An auxiliary adjective which indicates that the preceding sentence is the speaker’s conjecture based on what he has heard, read or seen.","An auxiliary adjective which indicates that the preceding sentence is the speaker’s conjecture based on what he has heard, read or seen.",Basic,らしい
〜わけではない,A phrase which is used to deny what is implied in the previous or following statement.,A phrase which is used to deny what is implied in the previous or following statement.,Intermediate,わけではない
〜が〜なら,A structure presenting a counterfactual situation which indicates that things would be better if something were really good or appropriate.,A structure presenting a counterfactual situation which indicates that things would be better if something were really good or appropriate.,Advanced,～が～なら
〜ても〜ても,A structure meaning “even if someone does something repeatedly”.,A structure meaning “even if someone does something repeatedly”.,Advanced,～ても～ても
〜といい〜といい,A structure that introduces multiple perspectives when describing a person or a thing.,A structure that introduces multiple perspectives when describing a person or a thing.,Advanced,～といい～といい
〜もVば〜もV,"A structure used to present typical examples of actions, events, situations, people, or things among a number of possibilities.","A structure used to present typical examples of actions, events, situations, people, or things among a number of possibilities.",Advanced,～も[V]ば～も[V]
あげる,Someone gives something to a person who is not a member of the giver’s in group but whose status is about equal to that of the giver.,Someone gives something to a person who is not a member of the giver’s in group but whose status is about equal to that of the giver.,Basic,あげる (1)
〜てあげる,Someone gives some action as a favour to a person who is not a member of the giver’s in group but whose status is about equal of the giver.,Someone gives some action as a favour to a person who is not a member of the giver’s in group but whose status is about equal of the giver.,Basic,あげる (2)
お〜になる,A phrase which expresses the speaker’s respect for someone when describing that person’s action or state,A phrase which expresses the speaker’s respect for someone when describing that person’s action or state,Basic,お～になる
〜ことができる,Doing something is possible,Doing something is possible,Basic,ことが出来る・できる
〜のに,"Contrary to everybody’s expectation based on the sentence preceding [x], the proposition in the sentence following [x] is the case.","Contrary to everybody’s expectation based on the sentence preceding [x], the proposition in the sentence following [x] is the case.",Basic,のに (1)
〜のに（目的）,In the process or for the purpose of doing something expressed in the の nominalised clause.,In the process or for the purpose of doing something expressed in the の nominalised clause.,Basic,のに (2)
もらう,The first person or someone the speaker empathises with receives something from someone whose status is not as high as the receiver’s.,The first person or someone the speaker empathises with receives something from someone whose status is not as high as the receiver’s.,Basic,もらう (1)
〜てもらう,The first person or someone the speaker empathizes with receives some benefit from an action by someone whose status is not as high as the receiver’s.,The first person or someone the speaker empathizes with receives some benefit from an action by someone whose status is not as high as the receiver’s.,Basic,もらう (2)
〜出す,Something that has been latent is realised.,Something that has been latent is realised.,Basic,出す・だす
〜前に,In front of or before some situation comes about.,In front of or before some situation comes about.,Basic,前に・まえに
くれる,Someone whose status is not higher than the speaker’s gives something to the first person or to someone with whom the speaker empathises.,Someone whose status is not higher than the speaker’s gives something to the first person or to someone with whom the speaker empathises.,Basic,呉れる・くれる (1)
〜てくれる,Someone does something as a favour to the first person or to someone with whom the speaker empathises.,Someone does something as a favour to the first person or to someone with whom the speaker empathises.,Basic,呉れる・くれる (2)
〜始める,Someone/something begins to do something or begins to be in some state.,Someone/something begins to do something or begins to be in some state.,Basic,始める・はじめる
〜方,A noun forming suffix that indicates a way or a manner in which one does something.,A noun forming suffix that indicates a way or a manner in which one does something.,Basic,方・かた
〜やすい,Something or someone is easy to ~.,Something or someone is easy to ~.,Basic,易い・やすい
〜時,A dependent noun which indicates the time when someone/something will do/does/did something or the time when someone/something will be/is/was in some state.,A dependent noun which indicates the time when someone/something will do/does/did something or the time when someone/something will be/is/was in some state.,Basic,時・とき
来る,Someone or something moves in a direction towards the speaker or the speaker’s viewpoint or area of empathy.,Someone or something moves in a direction towards the speaker or the speaker’s viewpoint or area of empathy.,Basic,来る・くる (1)
〜てくる,An auxiliary verb which indicates the beginning of some process or continuation of some action up to a current point of time.,An auxiliary verb which indicates the beginning of some process or continuation of some action up to a current point of time.,Basic,来る・くる (2)
欲しい,Something is desired by the speaker.,Something is desired by the speaker.,Basic,欲しい・ほしい (1)
〜て欲しい,Want someone (who is not higher in status than the speaker) to do something.,Want someone (who is not higher in status than the speaker) to do something.,Basic,欲しい・ほしい (2)
為（に）・ため（に）,"A noun that indicates a benefit, a purpose, a reason or a cause.","A noun that indicates a benefit, a purpose, a reason or a cause.",Basic,為（に）・ため（に）
〜終わる,Finish doing ~,Finish doing ~,Basic,終わる・おわる
行く,Someone or something moves in a direction away from the speaker or the speaker’s viewpoint.,Someone or something moves in a direction away from the speaker or the speaker’s viewpoint.,Basic,行く・いく (1)
〜ていく,Some action or state keeps changing from the point in time at which the speaker first describes the action.,Some action or state keeps changing from the point in time at which the speaker first describes the action.,Basic,行く・いく (2)
〜すぎる,Someone/something does something excessively or is in a state excessively.,Someone/something does something excessively or is in a state excessively.,Basic,過ぎる・すぎる
〜にくい,Something or someone is hard to ~.,Something or someone is hard to ~.,Basic,難い・にくい
〜ながら（も）（逆接）,A disjunctive conjunction used normally in written Japanese with the meaning of 'although'.,A disjunctive conjunction used normally in written Japanese with the meaning of 'although'.,Intermediate,ながら（も）
〜も〜ば,A structure which expresses the idea that a certain amount of something is sufficient to do something.,A structure which expresses the idea that a certain amount of something is sufficient to do something.,Intermediate,も~ば
（っ）きり,"A conjunction indicating that since something occurred, nothing has happened and the resultant situation remains unchanged; a particle indicating a strict limitation in terms of number/quantity.","A conjunction indicating that since something occurred, nothing has happened and the resultant situation remains unchanged; a particle indicating a strict limitation in terms of number/quantity.",Advanced,（っ）きり
〜（っ）たって（譲歩）,The informal form of ても.,The informal form of ても.,Advanced,（っ）たって (1)
〜（っ）たって（と言っても・としても）,The contracted form of と言っても or としても.,The contracted form of と言っても or としても.,Advanced,（っ）たって (2)
〜（と言）ったらない,A phrase used to express a strong sensation or emotion.,A phrase used to express a strong sensation or emotion.,Advanced,（と言）ったらない
〜であれ〜であれ,A structure that means “no matter which one is the case”,A structure that means “no matter which one is the case”,Advanced,～であれ～であれ
〜でも[Wh. word]でも,"A structure indicating that what is expressed in the main/subordinate clause is applicable to anyone, anything, any place or any time.","A structure indicating that what is expressed in the main/subordinate clause is applicable to anyone, anything, any place or any time.",Advanced,～でも[Wh. word]でも
〜に〜ない,A sentence structure meaning “someone cannot manage to do something”,A sentence structure meaning “someone cannot manage to do something”,Advanced,～に～ない
〜の〜のと,A structure that states what is said by someone in order to express the speaker’s disagreement or dissatisfaction.,A structure that states what is said by someone in order to express the speaker’s disagreement or dissatisfaction.,Advanced,～の～のと
〜やら〜やら,"A structure to present things, events, actions, etc., as examples, reasons or possibilities.","A structure to present things, events, actions, etc., as examples, reasons or possibilities.",Advanced,～やら～やら
〜わ〜わ,"A structure that emphatically presents actions, events or states as examples or reasons, or indicates that someone does something or something happens to a great extent.","A structure that emphatically presents actions, events or states as examples or reasons, or indicates that someone does something or something happens to a great extent.",Advanced,～わ～わ
〜言わず〜と言わず,"A structure indicating that something is the case not only for A and B but also for many other places, things, etc., of X, to which A and B belong","A structure indicating that something is the case not only for A and B but also for many other places, things, etc., of X, to which A and B belong",Advanced,~言わず~と言わず
あえて,"An adverb that expresses the speaker's/writer's desire or will to dare to do something in spite of difficulty, danger or opposition.","An adverb that expresses the speaker's/writer's desire or will to dare to do something in spite of difficulty, danger or opposition.",Advanced,あえて
あくまでも,"An adverb that represents the idea of ""to the utmost degree"".","An adverb that represents the idea of ""to the utmost degree"".",Advanced,あくまでも
あげく（に）,An adverb/conjunction indicating that one spends an extended period of time before reaching a result.,An adverb/conjunction indicating that one spends an extended period of time before reaching a result.,Advanced,あげく（に）
あたかも,An adverb used to present a counter-factual statement emphatically,An adverb used to present a counter-factual statement emphatically,Advanced,あたかも
〜あながち〜ない,A structure that indicates that something is not necessarily the way the speaker/writer thought.,A structure that indicates that something is not necessarily the way the speaker/writer thought.,Advanced,あながち～ない
あるいは,A conjunction that marks alternatives,A conjunction that marks alternatives,Advanced,あるいは
いかなる,A noun modifier that means either “what kind of” or “no matter what”.,A noun modifier that means either “what kind of” or “no matter what”.,Advanced,いかなる
いかに,An adverb meaning “how”.,An adverb meaning “how”.,Advanced,いかに
いくら,A Wh-word that asks about the amount of something.,A Wh-word that asks about the amount of something.,Advanced,いくら
いわゆる,A noun modifier that means “known generally by this term”.,A noun modifier that means “known generally by this term”.,Advanced,いわゆる
およそ,An adverb representing the ideas “all; totally; mostly; approximately”.,An adverb representing the ideas “all; totally; mostly; approximately”.,Advanced,およそ
〜かと思うと,"A phrase indicating that an action or state in the dependent clause occurs very closely with another action or state in the clause, or causes another action or state in the main clause.","A phrase indicating that an action or state in the dependent clause occurs very closely with another action or state in the clause, or causes another action or state in the main clause.",Advanced,かと思うと
かな（感嘆）,An interjection that expresses deep felt emotion.,An interjection that expresses deep felt emotion.,Advanced,かな
〜かのように,"A conjunctive phrase that forms an adverbial clause which describes the way someone/something appears to the writer, contrary to reality.","A conjunctive phrase that forms an adverbial clause which describes the way someone/something appears to the writer, contrary to reality.",Advanced,かのように
〜からして,A phrase that singles out something for emphasis or presents something as a basis for judgment.,A phrase that singles out something for emphasis or presents something as a basis for judgment.,Advanced,からして
〜からなる,A phrase indicating that something consists of more than one member/constituent.,A phrase indicating that something consists of more than one member/constituent.,Advanced,からなる
〜からには,"A subordinate conjunction meaning “now that,” “once someone does / has done something” or “so long as”.","A subordinate conjunction meaning “now that,” “once someone does / has done something” or “so long as”.",Advanced,からには
〜から言って,A phrase that means either “in terms of” or “judging from”.,A phrase that means either “in terms of” or “judging from”.,Advanced,から言って
〜か否か,A conjunctive phrase indicating that the speaker/writer is wondering whether something is the case or not.,A conjunctive phrase indicating that the speaker/writer is wondering whether something is the case or not.,Advanced,か否か
が早いか,"A conjunction indicating that as soon as something happens, something else happens.","A conjunction indicating that as soon as something happens, something else happens.",Advanced,が早いか
〜きらいがある,A phrase indicating that someone or something has an undesirable tendency.,A phrase indicating that someone or something has an undesirable tendency.,Advanced,きらいがある
ことか,"A sentence final, exclamatory phrase used in written language.","A sentence final, exclamatory phrase used in written language.",Advanced,ことか
〜ことから,A phrase that expresses a reason or a cause.,A phrase that expresses a reason or a cause.,Advanced,ことから
〜ごとし,An auxiliary adjective that indicates a resemblance of something/someone to something/someone or indicates how something/someone appears to speaker/writer.,An auxiliary adjective that indicates a resemblance of something/someone to something/someone or indicates how something/someone appears to speaker/writer.,Advanced,ごとし
〜ことに,A phrase that expresses the speaker’s/ writer’s emotion or subjective judgment.,A phrase that expresses the speaker’s/ writer’s emotion or subjective judgment.,Advanced,ことに
〜この上ない,A phrase that indicates that something or someone is in an extreme state.,A phrase that indicates that something or someone is in an extreme state.,Advanced,この上ない
さぞ（かし）,An adverb that is used when the speaker thinks that someone or something is in an extreme state.,An adverb that is used when the speaker thinks that someone or something is in an extreme state.,Advanced,さぞ（かし）
さて,An interjection indicating that the speaker/writer is going to talk about something different.,An interjection indicating that the speaker/writer is going to talk about something different.,Advanced,さて
さも,"An adverb meaning “truly,” used when describing the way someone’s action or behaviour appears.","An adverb meaning “truly,” used when describing the way someone’s action or behaviour appears.",Advanced,さも
〜ずして,A phrase meaning “without doing something”.,A phrase meaning “without doing something”.,Advanced,ずして
〜ずとも,A conjunctive phrase that indicates negative concession: “even if ~ not”.,A conjunctive phrase that indicates negative concession: “even if ~ not”.,Advanced,ずとも
〜ずにはおかない,A phrase that expresses the idea that someone/something necessarily or naturally causes something to happen.,A phrase that expresses the idea that someone/something necessarily or naturally causes something to happen.,Advanced,ずにはおかない
〜そのもの,A phrase used to refer strictly to the preceding noun (phrase) or adjective.,A phrase used to refer strictly to the preceding noun (phrase) or adjective.,Advanced,そのもの
そもそも（の）,A sentence-modifying adverb used when the speaker/writer comments on or questions a fundamental point.,A sentence-modifying adverb used when the speaker/writer comments on or questions a fundamental point.,Advanced,そもそも（の）
それだけ,"An adverbial phrase indicating that the degree of something is proportionate to the degree of the state, action or event mentioned in the preceding sentence.","An adverbial phrase indicating that the degree of something is proportionate to the degree of the state, action or event mentioned in the preceding sentence.",Advanced,それだけ
〜それなりに・の,"A phrase representing the idea that someone/something does something or is in a state in his/her/its own way, or in a way suitable to the situation or generally expected from the situation.","A phrase representing the idea that someone/something does something or is in a state in his/her/its own way, or in a way suitable to the situation or generally expected from the situation.",Advanced,それなりに・の
たかが,A noun modiﬁer used when the speaker thinks little of the referent of the modiﬁed noun or noun phrase.,A noun modiﬁer used when the speaker thinks little of the referent of the modiﬁed noun or noun phrase.,Advanced,たかが
〜だけあって,A phrase that means “and as one would expect” or “for good reason”.,A phrase that means “and as one would expect” or “for good reason”.,Advanced,だけあって
〜だけに,A phrase that carries the idea “as one would expect”.,A phrase that carries the idea “as one would expect”.,Advanced,だけに
〜だけのことはある,"A phrase expressing an evaluative comment regarding how something is contributing to an expected, remarkable result.","A phrase expressing an evaluative comment regarding how something is contributing to an expected, remarkable result.",Advanced,だけのことはある
ただ（補足）,A conjunction that introduces a supplementary remark.,A conjunction that introduces a supplementary remark.,Advanced,ただ
〜だって（理由）,A conjunction that indicates a reason.,A conjunction that indicates a reason.,Advanced,だって (1)
〜だって（追加・強調）,A particle meaning “too” or “even”.,A particle meaning “too” or “even”.,Advanced,だって (2)
たなり（で）,A conjunction indicating that a situation or condition remains unaltered.,A conjunction indicating that a situation or condition remains unaltered.,Advanced,たなり（で）
〜だに,A particle indicating that something expressed by the preceding verb alone produces a certain feeling or the meaning “(not) even doing something; doesn’t even occur”.,A particle indicating that something expressed by the preceding verb alone produces a certain feeling or the meaning “(not) even doing something; doesn’t even occur”.,Advanced,だに
だの,A conjunction that lists nouns/quotes inexhaustively.,A conjunction that lists nouns/quotes inexhaustively.,Advanced,だの
〜たるや,A compound particle used to present a subtopic about which the writer provides surprising or impressive information.,A compound particle used to present a subtopic about which the writer provides surprising or impressive information.,Advanced,たるや
ちなみに,A conjunction to indicate that what follows is additional information related to the previously stated main theme,A conjunction to indicate that what follows is additional information related to the previously stated main theme,Advanced,ちなみに
つい,An adverb used to describe someone doing something without being able to control himself/herself or used to indicate the closeness of a time or a place.,An adverb used to describe someone doing something without being able to control himself/herself or used to indicate the closeness of a time or a place.,Advanced,つい
〜ついでに,A phrase used to express the idea that someone does a second thing at the same time as the first because it takes less time or effort.,A phrase used to express the idea that someone does a second thing at the same time as the first because it takes less time or effort.,Advanced,ついでに
ついては,"A sentence-initial conjunction that means “with regard to this,” referring to what is stated in the preceding sentence.","A sentence-initial conjunction that means “with regard to this,” referring to what is stated in the preceding sentence.",Advanced,ついては
っけ,A colloquial sentence final particle marking a question.,A colloquial sentence final particle marking a question.,Advanced,っけ
〜であれ,A conjunctive phrase that expresses the idea of concession.,A conjunctive phrase that expresses the idea of concession.,Advanced,であれ
〜てはいられない,A phrase that is used when someone cannot be doing something or be in some state due to a given situation.,A phrase that is used when someone cannot be doing something or be in some state due to a given situation.,Advanced,てはいられない
〜てばかりはいられない,A phrase representing the idea that someone cannot just keep doing something or waste time being consumed by some emotion.,A phrase representing the idea that someone cannot just keep doing something or waste time being consumed by some emotion.,Advanced,てばかりはいられない
〜でも・じゃあるまいし,A phrase expressing the speaker’s belief that someone’s action is based on mistaken identity of himself/herself and also expressing the speaker’s critical comments about someone’s behaviour.,A phrase expressing the speaker’s belief that someone’s action is based on mistaken identity of himself/herself and also expressing the speaker’s critical comments about someone’s behaviour.,Advanced,でも・じゃあるまいし
〜て仕方がない,A phrase that represents emotions the speaker/writer cannot control or sensations/situations he/she cannot bear.,A phrase that represents emotions the speaker/writer cannot control or sensations/situations he/she cannot bear.,Advanced,て仕方がない
〜とあって,"A phrase that introduces a reason when the speaker/writer considers it natural that someone does something or is in some state, or that something takes place for that reason.","A phrase that introduces a reason when the speaker/writer considers it natural that someone does something or is in some state, or that something takes place for that reason.",Advanced,とあって
とあっては,A conditional phrase that indirectly presents a factual situation as a reason.,A conditional phrase that indirectly presents a factual situation as a reason.,Advanced,とあっては
といえども,A conjunction that expresses the idea of “even (though)”.,A conjunction that expresses the idea of “even (though)”.,Advanced,といえども
〜といった,A compound particle that introduces examples.,A compound particle that introduces examples.,Advanced,といった
〜といったところだ,A phrase the speaker/writer uses to explain something in a brief/rough manner.,A phrase the speaker/writer uses to explain something in a brief/rough manner.,Advanced,といったところだ
どうか,An adverb indicating a polite yet very strong request.,An adverb indicating a polite yet very strong request.,Advanced,どうか
〜どうにも〜ない,"A structure indicating that no matter how hard someone may try, something is impossible.","A structure indicating that no matter how hard someone may try, something is impossible.",Advanced,どうにも～ない
〜ところから,"A phrase that introduces the origins of names, theories, ideas and events.","A phrase that introduces the origins of names, theories, ideas and events.",Advanced,ところから
〜どころではない,A phrase indicating that an action/state is simply impossible due to an adverse situation.,A phrase indicating that an action/state is simply impossible due to an adverse situation.,Advanced,どころではない
〜どちらかと言うと,A phrase indicating that the speaker/writer chooses one alternative over another in a tentative way.,A phrase indicating that the speaker/writer chooses one alternative over another in a tentative way.,Advanced,どちらかと言うと
〜とても〜ない,"A structure that is used to deny emphatically the ability of someone/something or possibility of an event, state or action","A structure that is used to deny emphatically the ability of someone/something or possibility of an event, state or action",Advanced,とても～ない
〜とでも言うべき,A phrase that introduces a noun (or noun phrase) to describe the nature of someone or something.,A phrase that introduces a noun (or noun phrase) to describe the nature of someone or something.,Advanced,とでも言うべき
〜との,"A phrase that presents the content of the referent of the following noun (e.g., a report, notice, news, view).","A phrase that presents the content of the referent of the following noun (e.g., a report, notice, news, view).",Advanced,との
〜とは,"A compound particle marking an event, action or state that the speaker/writer does not expect and that causes him/her to feel some emotion","A compound particle marking an event, action or state that the speaker/writer does not expect and that causes him/her to feel some emotion",Advanced,とは
〜とばかりに,A phrase that indicates that someone does something in order to convey something or in such a way that someone is convinced that something is the case.,A phrase that indicates that someone does something in order to convey something or in such a way that someone is convinced that something is the case.,Advanced,とばかりに
〜とは言え,A conjunctive phrase meaning “although it is said that”,A conjunctive phrase meaning “although it is said that”,Advanced,とは言え
ども,A conjunction that indicates concession based on an actual state or action.,A conjunction that indicates concession based on an actual state or action.,Advanced,ども
〜ともすると,A phrase that expresses the idea that something is likely to take place.,A phrase that expresses the idea that something is likely to take place.,Advanced,ともすると
〜ともなく,"A phrase indicating that the subject does something without paying much attention, or that when, where, to whom, etc., something took place is unclear.","A phrase indicating that the subject does something without paying much attention, or that when, where, to whom, etc., something took place is unclear.",Advanced,ともなく
〜と言うか,A phrase used to restate what was just said in order to be more accurate or appropriate.,A phrase used to restate what was just said in order to be more accurate or appropriate.,Advanced,と言うか
〜と言うのは,A phrase that introduces the reason for what has just been said.,A phrase that introduces the reason for what has just been said.,Advanced,と言うのは
と言って,A conjunction used at the beginning of a sentence to convey the idea of “however”.,A conjunction used at the beginning of a sentence to convey the idea of “however”.,Advanced,と言って
〜ないことには,"A phrase that means “if something has not taken place, something else won’t/can’t take place”.","A phrase that means “if something has not taken place, something else won’t/can’t take place”.",Advanced,ないことには
〜ないし（は）,A particle that presents two possible choices or the minimum and maximum possible numbers/lengths/weights/etc. of something; or a conjunction that links two possible actions or events.,A particle that presents two possible choices or the minimum and maximum possible numbers/lengths/weights/etc. of something; or a conjunction that links two possible actions or events.,Advanced,ないし（は）
〜ないでもない,A phrase that indicates the speaker/writer hesitantly feels or expresses that something is the case.,A phrase that indicates the speaker/writer hesitantly feels or expresses that something is the case.,Advanced,ないでもない
ないまでも,"An adverbial phrase expressing the speaker’s feeling that although an ideal action or state isn’t possible, at least the next best action or state is or should be available.","An adverbial phrase expressing the speaker’s feeling that although an ideal action or state isn’t possible, at least the next best action or state is or should be available.",Advanced,ないまでも
なお,An adverb that indicates that an action or state is still going on or the degree of something increases; a conjunction indicating that an additional comment follows what has just been said in the preceding sentence.,An adverb that indicates that an action or state is still going on or the degree of something increases; a conjunction indicating that an additional comment follows what has just been said in the preceding sentence.,Advanced,なお
なおさら,An adverb indicating that the degree of something increases due to an additional circumstance.,An adverb indicating that the degree of something increases due to an additional circumstance.,Advanced,なおさら
〜なくして（は）,A compound particle meaning “without something”.,A compound particle meaning “without something”.,Advanced,なくして（は）
なしに,An adverbial phrase meaning “without (doing) something”.,An adverbial phrase meaning “without (doing) something”.,Advanced,なしに
なす,A verb that means “to cause something to happen”,A verb that means “to cause something to happen”,Advanced,なす
なぜか,An adverb indicating that the speaker/writer doesn’t know the cause of/reason for something,An adverb indicating that the speaker/writer doesn’t know the cause of/reason for something,Advanced,なぜか
〜なぜなら（ば）〜からだ,A structure used to introduce a reason for the statement in the preceding sentence.,A structure used to introduce a reason for the statement in the preceding sentence.,Advanced,なぜなら（ば）～からだ
なまじ（っか）,"An adverb indicating that something (including an action/state) has a positive value which hasn’t been reached, causing something negative.","An adverb indicating that something (including an action/state) has a positive value which hasn’t been reached, causing something negative.",Advanced,なまじ（っか）
〜ならでは（の）,A phrase indicating something is “impossible if it’s not X”.,A phrase indicating something is “impossible if it’s not X”.,Advanced,ならでは（の）
なり,A conjunction meaning “soon after”.,A conjunction meaning “soon after”.,Advanced,なり
なるほど,An adverb indicating that the speaker/writer afﬁrms the correctness of something he/she has heard/read/observed.,An adverb indicating that the speaker/writer afﬁrms the correctness of something he/she has heard/read/observed.,Advanced,なるほど
なんて（なんと）,A phrase used as the colloquial version of なんと.,A phrase used as the colloquial version of なんと.,Advanced,なんて (1)
〜なんて（感情・評価）,"A colloquial particle used to express a strong feeling such as astonishment, incredulousness, envy, disdain, dislike, happiness, etc.","A colloquial particle used to express a strong feeling such as astonishment, incredulousness, envy, disdain, dislike, happiness, etc.",Advanced,なんて (2)
〜に（も）なく,A phrase that means something unusual happens or someone does something unusual.,A phrase that means something unusual happens or someone does something unusual.,Advanced,に（も）なく
〜に/ともなると,A phrase that is used when something or some situation is perceived to be special.,A phrase that is used when something or some situation is perceived to be special.,Advanced,に/ともなると
〜にいたっては,A compound particle that indicates an extreme example.,A compound particle that indicates an extreme example.,Advanced,にいたっては
〜にかかわらず・に関/拘/係わらず,A compound particle that means “regardless of”,A compound particle that means “regardless of”,Advanced,にかかわらず・に関/拘/係わらず
〜にかけては,A compound particle that marks something in which someone excels or has conﬁdence.,A compound particle that marks something in which someone excels or has conﬁdence.,Advanced,にかけては
〜にかたくない・に難くない,A phrase that indicates that it is not hard to imagine or guess a situation.,A phrase that indicates that it is not hard to imagine or guess a situation.,Advanced,にかたくない・に難くない
〜にしたところで,A compound particle that means “even” or “also”.,A compound particle that means “even” or “also”.,Advanced,にしたところで
〜にして（時点・段階）,A compound particle that indicates a period of time/stage (in life) at which some surprising action or state takes place.,A compound particle that indicates a period of time/stage (in life) at which some surprising action or state takes place.,Advanced,にして (1)
〜にして（並列）,A conjunction meaning “and” that is used to combine two noun phrases or な-adjectives.,A conjunction meaning “and” that is used to combine two noun phrases or な-adjectives.,Advanced,にして (2)
〜にしてからが,A compound particle indicating that something unexpected occurs.,A compound particle indicating that something unexpected occurs.,Advanced,にしてからが
にしても,"A conjunction that represents the idea of “even if someone decides to do something,” or “even if/though someone decides that something is true/the case”.","A conjunction that represents the idea of “even if someone decides to do something,” or “even if/though someone decides that something is true/the case”.",Advanced,にしても
〜にしろ・せよ,A conjunctive phrase that carries the meaning of concession.,A conjunctive phrase that carries the meaning of concession.,Advanced,にしろ・せよ
につけ,A conjunction indicating that each time someone perceives something he/she feels or thinks something associated with it.,A conjunction indicating that each time someone perceives something he/she feels or thinks something associated with it.,Advanced,につけ
〜にとどまらず,A phrase indicating that something goes beyond a spatial/temporal boundary.,A phrase indicating that something goes beyond a spatial/temporal boundary.,Advanced,にとどまらず
〜にひきかえ,A phrase that indicates a sharp contrast.,A phrase that indicates a sharp contrast.,Advanced,にひきかえ
〜によらず,A compound particle that means “without depending on”.,A compound particle that means “without depending on”.,Advanced,によらず
〜によると,A compound particle that is used to identify the source of information provided in the sentence.,A compound particle that is used to identify the source of information provided in the sentence.,Advanced,によると
〜にわたって・わたる,A compound particle indicating that something takes place over a particular span of time or physical space.,A compound particle indicating that something takes place over a particular span of time or physical space.,Advanced,にわたって・わたる
