volume,headword,dojg_entry_id,decision,canonical,relationship,summary
Basic,らしい,50ba4ae9599de6842d0f94b634d3c9b90e4d4589686451d2b2b1881ee1ee976d,link_existing,〜らしい,primary,"An auxiliary adjective which indicates that the preceding sentence is the speaker’s conjecture based on what he has heard, read or seen."
Intermediate,わけではない,a4f7395ab189693ccbf9e317e908971a383cac044a24612ec1f14ad7790a8cd9,link_existing,〜わけではない,primary,A phrase which is used to deny what is implied in the previous or following statement.
Advanced,～が～なら,746c561e47ee4ed67e03e41be654f161b425ccc2bfb1b086b44f7deabc97fb16,create_new_canonical,〜が〜なら,primary,A structure presenting a counterfactual situation which indicates that things would be better if something were really good or appropriate.
Advanced,～ても～ても,f6fd53aa1ffe2d1b886829c2d2f0a23938ab37e8ffc254721e4b1b03d73ff44f,create_new_canonical,〜ても〜ても,primary,A structure meaning “even if someone does something repeatedly”.
Advanced,～といい～といい,883de9ec77b8afa38eee9b7769e9a21a18b705c8d92e185d0e7a131ba7bd3c4a,create_new_canonical,〜といい〜といい,primary,A structure that introduces multiple perspectives when describing a person or a thing.
Advanced,～も[V]ば～も[V],23ddaf9dac4bea749268e08f8efbfb9498b5736907f962581b89ee6f924cd863,create_new_canonical,〜もVば〜もV,primary,"A structure used to present typical examples of actions, events, situations, people, or things among a number of possibilities."
Basic,あげる (1),a6b2e0b7925b2e2e35f1525b4266fa424586e72d28bc53a41c76e85817fd6f51,link_existing,あげる,primary,Someone gives something to a person who is not a member of the giver’s in group but whose status is about equal to that of the giver.
Basic,あげる (2),b8313c0b228bb07fcee9399a37e4cd62d7c70b66bba897afeb19d0c5e5c1151d,link_existing,〜てあげる,primary,Someone gives some action as a favour to a person who is not a member of the giver’s in group but whose status is about equal of the giver.
Basic,お～になる,4ca91ef91c7fa978c7ac8d26981e2d608b0e0c3e73a06bd174a693724ddcc6aa,create_new_canonical,お〜になる,primary,A phrase which expresses the speaker’s respect for someone when describing that person’s action or state
Basic,ことが出来る・できる,2eea00069b8619bf6e80ec1201ab87132831f21360f70512191491cc6af62387,link_existing,〜ことができる,primary,Doing something is possible
Basic,のに (1),20fed37c7a0a5c4e6572110633502c37e72d1af18014b81e75070a6aea68e1b8,link_existing,〜のに,primary,"Contrary to everybody’s expectation based on the sentence preceding [x], the proposition in the sentence following [x] is the case."
Basic,のに (2),88fc3713ed36be1b1ce5e47d7c191925ffa2a19c0a15b2c7f4144d6dad888754,create_new_canonical,〜のに（目的）,primary,In the process or for the purpose of doing something expressed in the の nominalised clause.
Basic,もらう (1),706bee05703782198e1df841aec14d1b21ae2bf93f26b5be3861de72fb79dfd0,link_existing,もらう,primary,The first person or someone the speaker empathises with receives something from someone whose status is not as high as the receiver’s.
Basic,もらう (2),25934aa45c804a856b7be8d5e99e204e845c7096829a6d8b51c37e8cfa0006db,link_existing,〜てもらう,primary,The first person or someone the speaker empathizes with receives some benefit from an action by someone whose status is not as high as the receiver’s.
Basic,出す・だす,74ca538f7321ac0f4f70605136abe6ea0f57009a8658c746fb979f96e59f3bc4,link_existing,〜出す,primary,Something that has been latent is realised.
Basic,前に・まえに,51287b6c66e5d68285af4d2a2e3efac77cdfb83af36801c82858ad4e8dc293b9,link_existing,〜前に,primary,In front of or before some situation comes about.
Basic,呉れる・くれる (1),8d78cb69d97c254f470de3d06a167e475d38c21dd4f4e2945e2b93e5a3c8ac81,link_existing,くれる,primary,Someone whose status is not higher than the speaker’s gives something to the first person or to someone with whom the speaker empathises.
Basic,呉れる・くれる (2),9e1cfe19b2ca1405059df281a9cd0d1a116c3ffba0b2e7ec2b8b483f031d2cf4,link_existing,〜てくれる,primary,Someone does something as a favour to the first person or to someone with whom the speaker empathises.
Basic,始める・はじめる,12b2a4880310c98ea532133632a2114e6b1de7cdde225d1796f9d7f50660cd2f,link_existing,〜始める,primary,Someone/something begins to do something or begins to be in some state.
Basic,方・かた,a05b97dd3b2ab2779507081d3cbf3fd355564e1bf1d92cd8ece50701aacb3425,link_existing,〜方,primary,A noun forming suffix that indicates a way or a manner in which one does something.
Basic,易い・やすい,fc04cfe1d7dd824da676e130256d186fba00b1dbb484d47d3c5321789d0b25b9,link_existing,〜やすい,primary,Something or someone is easy to ~.
Basic,時・とき,47d014c03e74fcf15555977fa67295d1bfb0f5a85de302f05b4b2ae9fce1bf3d,link_existing,〜時,primary,A dependent noun which indicates the time when someone/something will do/does/did something or the time when someone/something will be/is/was in some state.
Basic,来る・くる (1),c703c569b3c386526962e0fc9c35ed2fc925bb32a1d0ee60103aef758a5557ee,link_existing,来る,primary,Someone or something moves in a direction towards the speaker or the speaker’s viewpoint or area of empathy.
Basic,来る・くる (2),505932929128609abe775a108269f2a96931e170f0fde59c3f943b8b0cb7b942,link_existing,〜てくる,primary,An auxiliary verb which indicates the beginning of some process or continuation of some action up to a current point of time.
Basic,欲しい・ほしい (1),8a2e18656513c097bda69327b1aa7d7f3f438dde72c06f9d38d4e0e484a2b637,link_existing,欲しい,primary,Something is desired by the speaker.
Basic,欲しい・ほしい (2),0f0a931a8cee33236862c71339188b1ef2fde097044660ebe061d29e967f8465,link_existing,〜て欲しい,primary,Want someone (who is not higher in status than the speaker) to do something.
Basic,為（に）・ため（に）,a1b56add2ae2eb8575494025daf156c46d62991246b7e7e7e0ee6ce5335b9aa2,link_existing,〜ために,primary,"A noun that indicates a benefit, a purpose, a reason or a cause."
Basic,終わる・おわる,89522812441efda766ede078e7fe4931a6fdb96ae0d0b7adef4fc67074c1bcc8,link_existing,〜終わる,primary,Finish doing ~
Basic,行く・いく (1),b3567164a5d5534468613edeca18b67b9c7ddb1ccd1fb3390514a9060ce311eb,link_existing,行く,primary,Someone or something moves in a direction away from the speaker or the speaker’s viewpoint.
Basic,行く・いく (2),802740647ef40f472b2b172d2d2273470e2d068437e5e9d63d71cf9e4b653928,link_existing,〜ていく,primary,Some action or state keeps changing from the point in time at which the speaker first describes the action.
Basic,過ぎる・すぎる,ab6d33beb06a3f967c916d643c7a5be5f91031967731fa50c2a64cf4052cf0f1,link_existing,〜すぎる,primary,Someone/something does something excessively or is in a state excessively.
Basic,難い・にくい,4b92805c60f8ee16776d7498dd3dd776ab116549de111df410e89debec2ee92a,link_existing,〜にくい,primary,Something or someone is hard to ~.
Intermediate,ながら（も）,de36916c9231558cd3c83b19bcd356958732c73eda8cb3b411446e765c5e15a5,create_new_canonical,〜ながら（も）（逆接）,primary,A disjunctive conjunction used normally in written Japanese with the meaning of 'although'.
Intermediate,も~ば,da9346be591bb72efacaac8ac284ad98ed93c4533d8483b581ab59cad6d5e199,create_new_canonical,〜も〜ば,primary,A structure which expresses the idea that a certain amount of something is sufficient to do something.
Advanced,（っ）きり,6bdbd37ac80408b54e39e1c2178793cbc44d981d21a4a7024bd46b984b6249d0,create_new_canonical_candidate,,primary,"A conjunction indicating that since something occurred, nothing has happened and the resultant situation remains unchanged; a particle indicating a strict limitation in terms of number/quantity."
Advanced,（っ）たって (1),7a2a6651b678a475c2b7b38f428dc7cf45ba3668525785eb30561ca4921fb3c9,create_new_canonical_candidate,,primary,The informal form of ても.
Advanced,（っ）たって (2),9bbddc9e26eeb7bbdb2b514c1a209165a5731adbb3ea51ca3509a0b7e92351a5,create_new_canonical_candidate,,primary,The contracted form of と言っても or としても.
Advanced,（と言）ったらない,879d8e19c370afaa745127d654172aaf4a4e385950ba39ec9ae8a771786f43a3,create_new_canonical_candidate,,primary,A phrase used to express a strong sensation or emotion.
Advanced,～であれ～であれ,396eaecca83aada5f112e1ae82a96374801d47c645054a65ab77118beca62f99,create_new_canonical_candidate,,primary,A structure that means “no matter which one is the case”
Advanced,～でも[Wh. word]でも,b92522cd04df95b8692fb4511456c3da086a06646410d569cb411294f98d926b,create_new_canonical_candidate,,primary,"A structure indicating that what is expressed in the main/subordinate clause is applicable to anyone, anything, any place or any time."
Advanced,～に～ない,89574b47dcfb0b66a6efae8a756c174aa65590936a38df0b030056c54d3ab4fe,create_new_canonical_candidate,,primary,A sentence structure meaning “someone cannot manage to do something”
Advanced,～の～のと,2591ca951c040143774841599e0bfb56c17db13432e952f6f7a1555621ff0ea9,create_new_canonical_candidate,,primary,A structure that states what is said by someone in order to express the speaker’s disagreement or dissatisfaction.
Advanced,～やら～やら,bd92dddbdeec88f5ad5b023e858c50455e36de4ebb6c146d62f4836d5da3cb03,create_new_canonical_candidate,,primary,"A structure to present things, events, actions, etc., as examples, reasons or possibilities."
Advanced,～わ～わ,e4572decc747c3f4f9b1814c97935ce9345dd00b4b297cfd04a7c37c3de5c3e4,create_new_canonical_candidate,,primary,"A structure that emphatically presents actions, events or states as examples or reasons, or indicates that someone does something or something happens to a great extent."
Advanced,~言わず~と言わず,308bfd5f3aaaeb477a5014647bdb8bf9b183165236a1bf0f022dd11a742ebe58,create_new_canonical_candidate,,primary,"A structure indicating that something is the case not only for A and B but also for many other places, things, etc., of X, to which A and B belong"
Advanced,あえて,ed4ad3d3d6a4d1bbaaf7ffcd475fb5ce3ebad5166e9755e82cba8749fb2ff0d7,create_new_canonical_candidate,,primary,"An adverb that expresses the speaker's/writer's desire or will to dare to do something in spite of difficulty, danger or opposition."
Advanced,あくまでも,91618ac6e2c3fce46c2140bdbf4e75d85dd7284323f682d6bc18799dff8af6f5,create_new_canonical_candidate,,primary,"An adverb that represents the idea of ""to the utmost degree""."
Advanced,あげく（に）,40ab142c9597c8755cd289b5ad77cd0557df93deeff6e9e4ed5b93cfa6cf33c6,create_new_canonical_candidate,,primary,An adverb/conjunction indicating that one spends an extended period of time before reaching a result.
Advanced,あたかも,798c2d871cd9e404eb8633b09577f669c05633d3fffe547ada92bef26b12f259,create_new_canonical_candidate,,primary,An adverb used to present a counter-factual statement emphatically
Advanced,あながち～ない,d50a7ef2111ea25195b5a7ce6d57dd022f2fa4dfca4418d78570930d34804398,create_new_canonical_candidate,,primary,A structure that indicates that something is not necessarily the way the speaker/writer thought.
Advanced,あるいは,c00cfedaaad9bb3e1dbb5e93ffae2c4dc23e494b773b1d99feef9deb305885e7,create_new_canonical_candidate,,primary,A conjunction that marks alternatives
Advanced,いかなる,8c6e1eb7f37fd188a55df7746cb373f7e0e5148cd1897f42876c9bfd1588568b,create_new_canonical_candidate,,primary,A noun modifier that means either “what kind of” or “no matter what”.
Advanced,いかに,c17ce0bb043fbbae9800332fcc7dd7b3ac24bac1ed773b4e5f3c019ebd65c121,create_new_canonical_candidate,,primary,An adverb meaning “how”.
Advanced,いくら,e20c50e3014a9a0e9ead44abaa25d40bf0d87d2a80c76e263674747e3e6929e4,create_new_canonical_candidate,,primary,A Wh-word that asks about the amount of something.
Advanced,いわゆる,3d880ffd30a4e6865a5bd72970f9d395ee65969a24c630c92e3dde89c273a799,create_new_canonical_candidate,,primary,A noun modifier that means “known generally by this term”.
Advanced,およそ,1de1f95aeee84f1c33f2cd891ed1ea398d2641a159a2bbf58d048286ba9f88e6,create_new_canonical_candidate,,primary,An adverb representing the ideas “all; totally; mostly; approximately”.
Advanced,かと思うと,83e8a1e9a9578a0197c5b0d68cb4238c8d1e3ff8103896950cca89e9b6a44ea3,create_new_canonical_candidate,,primary,"A phrase indicating that an action or state in the dependent clause occurs very closely with another action or state in the clause, or causes another action or state in the main clause."
Advanced,かな,f6b792557e764b8f1af759b863208c52472647116c7aeda952eaec51f21418c6,create_new_canonical_candidate,,primary,An interjection that expresses deep felt emotion.
Advanced,かのように,da84d64a08707bf2215322cdbd68508787cdd8e7fad614d69d4e5e2652235149,create_new_canonical_candidate,,primary,"A conjunctive phrase that forms an adverbial clause which describes the way someone/something appears to the writer, contrary to reality."
Advanced,からして,6061f37f243d6d2be4596dd551b5ea24db7598c75075499fef5dd56376a5c7ed,create_new_canonical_candidate,,primary,A phrase that singles out something for emphasis or presents something as a basis for judgment.
Advanced,からなる,95c1dafe391463b3f90b1bac8dfb16611ef81c40038004efa35ef35bf5f30df1,create_new_canonical_candidate,,primary,A phrase indicating that something consists of more than one member/constituent.
Advanced,からには,de1812d37189b92df71deafb30bffc0216fc5fae102c069f017ae47233afb57f,create_new_canonical_candidate,,primary,"A subordinate conjunction meaning “now that,” “once someone does / has done something” or “so long as”."
Advanced,から言って,d8c8c535cff5177c998eb8e6fa6368133201aca81fbbdbe3a166460d378a9e65,create_new_canonical_candidate,,primary,A phrase that means either “in terms of” or “judging from”.
Advanced,か否か,2c0620376281f4f9e0373934784e5d9d64bb6b6b31486682f4ae64cfbdbc5285,create_new_canonical_candidate,,primary,A conjunctive phrase indicating that the speaker/writer is wondering whether something is the case or not.
Advanced,が早いか,b3507b9e556bf7be3454047464d9ac70c2934efef9cb77f0f194e23f306c6f0b,create_new_canonical_candidate,,primary,"A conjunction indicating that as soon as something happens, something else happens."
Advanced,きらいがある,22d79af8257971c57a414a2ab751614398485135cffd6096e6f968af0e6ea5fe,create_new_canonical_candidate,,primary,A phrase indicating that someone or something has an undesirable tendency.
Advanced,ことか,eecb3562e84838fdc2f64d3344d8df6a088df36055ebc241f9eeed4cce928c37,create_new_canonical_candidate,,primary,"A sentence final, exclamatory phrase used in written language."
Advanced,ことから,4a3e64ec5fb127c73347e4b5f9b4199bcbac492128f199d73419d527c215fdb3,create_new_canonical_candidate,,primary,A phrase that expresses a reason or a cause.
Advanced,ごとし,d1c616cbdaa4787d3aa1eea1cee1c24eb0564c95af3d13884c83893f2027b8b1,create_new_canonical_candidate,,primary,An auxiliary adjective that indicates a resemblance of something/someone to something/someone or indicates how something/someone appears to speaker/writer.
Advanced,ことに,b73c6cb1422974a6752dd4a29fd805520667ca112df4e65a9306c5d3b8489822,create_new_canonical_candidate,,primary,A phrase that expresses the speaker’s/ writer’s emotion or subjective judgment.
Advanced,この上ない,416fc50aa72c3cc09cea11f79b828f0920cd26b6da1a98f12b8a15e6a2e89a3f,create_new_canonical_candidate,,primary,A phrase that indicates that something or someone is in an extreme state.
Advanced,さぞ（かし）,824d6f5b37a2824089fa5c47054467ce58b8bd3a939dca305fa954365569f66e,create_new_canonical_candidate,,primary,An adverb that is used when the speaker thinks that someone or something is in an extreme state.
Advanced,さて,1a074a905ae02b4e5064256e727648e1434ec4f9085cc8eb1eeb0e66f84a3e65,create_new_canonical_candidate,,primary,An interjection indicating that the speaker/writer is going to talk about something different.
Advanced,さも,84dd571488421ae42594464acabcdbdd3f3a559c2d6eb906fce851628ba002c9,create_new_canonical_candidate,,primary,"An adverb meaning “truly,” used when describing the way someone’s action or behaviour appears."
Advanced,ずして,ae882699865b6ebd7bc974764d65fa3737e2864b438e2fa6ab918386dc0a7a41,create_new_canonical_candidate,,primary,A phrase meaning “without doing something”.
Advanced,ずとも,246d32c498c52ab8f529a64c90110892861cd8c8fdfba97e9fba77ff6f9ce4cc,create_new_canonical_candidate,,primary,A conjunctive phrase that indicates negative concession: “even if ~ not”.
Advanced,ずにはおかない,599a1a113456b16a59b7ad37b1ffa4a2213d0285e9002ed4ecd735da490fbb8f,create_new_canonical_candidate,,primary,A phrase that expresses the idea that someone/something necessarily or naturally causes something to happen.
Advanced,そのもの,4dbbc4f309daa062c1a7ae26cd643f08f53eb2b425c9f4eb9a5a57596505b737,create_new_canonical_candidate,,primary,A phrase used to refer strictly to the preceding noun (phrase) or adjective.
Advanced,そもそも（の）,44b0f0f02ec44986a47afc618b409abc0ff4680af7088d9b1dcf269538f21e47,create_new_canonical_candidate,,primary,A sentence-modifying adverb used when the speaker/writer comments on or questions a fundamental point.
Advanced,それだけ,036615b559e6e6b995e8ef7510a538aa5e08c727c8cd0bb778ba57daf8e7b124,create_new_canonical_candidate,,primary,"An adverbial phrase indicating that the degree of something is proportionate to the degree of the state, action or event mentioned in the preceding sentence."
Advanced,それなりに・の,d99b3ca61627cea4bebbb61410753902acdf2156fca6cfeb089a2e3460b00f15,create_new_canonical_candidate,,primary,"A phrase representing the idea that someone/something does something or is in a state in his/her/its own way, or in a way suitable to the situation or generally expected from the situation."
Advanced,たかが,4f4320fbfb38e7b4393d3b04c6ccf0287fc9dcfb5411a04a0ec0dd9e5c12f6a5,create_new_canonical_candidate,,primary,A noun modiﬁer used when the speaker thinks little of the referent of the modiﬁed noun or noun phrase.
Advanced,だけあって,28f114e2edb95c692776fdbcda5df2292bd68e64f0ba6ced28139131678f45c6,create_new_canonical_candidate,,primary,A phrase that means “and as one would expect” or “for good reason”.
Advanced,だけに,c9d1e023e98f1d883f9918aece447883d7fb27324b4159412d9d31825a9b3613,create_new_canonical_candidate,,primary,A phrase that carries the idea “as one would expect”.
Advanced,だけのことはある,9f6ba76efd7e4f0d439d9ad0472cb4ac9f62ad9fef10399c43abe360b353a56d,create_new_canonical_candidate,,primary,"A phrase expressing an evaluative comment regarding how something is contributing to an expected, remarkable result."
Advanced,ただ,1e6fb000d605ceb6bd7ea8a23c448f73deefc6c370d1bb7d5abcc5c4bec4059a,create_new_canonical_candidate,,primary,A conjunction that introduces a supplementary remark.
Advanced,だって (1),e4d890a78285872f2f6e937122e4aa5991b8740050f2510219163d7db845cd82,create_new_canonical_candidate,,primary,A conjunction that indicates a reason.
Advanced,だって (2),68baeed7b6bf8770968c58e5fddbedd7f02dd1fb8d77ab07bfecafd1c6da4a6c,create_new_canonical_candidate,,primary,A particle meaning “too” or “even”.
Advanced,たなり（で）,1173fbf019b4cf320ffff66502e31c4518f9605a8cc968e521b789e4515adad0,create_new_canonical_candidate,,primary,A conjunction indicating that a situation or condition remains unaltered.
Advanced,だに,1f1d08cb80c0cb6a249d6bf919872db588fd33004fe21b8af109857295c76881,create_new_canonical_candidate,,primary,A particle indicating that something expressed by the preceding verb alone produces a certain feeling or the meaning “(not) even doing something; doesn’t even occur”.
Advanced,だの,da9ea8c820469be70ffaf50ab0e9a4be85b08f06efe82a9aa146749074260315,create_new_canonical_candidate,,primary,A conjunction that lists nouns/quotes inexhaustively.
Advanced,たるや,73bd97bf000e87a8f137924eef5301bdc26ad3cd7c794d711011c17c5eb5b2c6,create_new_canonical_candidate,,primary,A compound particle used to present a subtopic about which the writer provides surprising or impressive information.
Advanced,ちなみに,4c44c8bf44a915554109074a42120f7c5b2be9e1ed3d3d6deaebc149dbdf6f2b,create_new_canonical_candidate,,primary,A conjunction to indicate that what follows is additional information related to the previously stated main theme
Advanced,つい,18d8445c5da87b4da8e2718506ee23984130cd77bc19f3c052432b4f48783d27,create_new_canonical_candidate,,primary,An adverb used to describe someone doing something without being able to control himself/herself or used to indicate the closeness of a time or a place.
Advanced,ついでに,023cedb4d8e4ca748542c0a6160b44c6d948a10fa54bbbed27e1298e9a425da5,create_new_canonical_candidate,,primary,A phrase used to express the idea that someone does a second thing at the same time as the first because it takes less time or effort.
Advanced,ついては,5f4e5c715fa879f0cc9495145c91269b6f1cf4988989f3334fdc3ed974901a63,create_new_canonical_candidate,,primary,"A sentence-initial conjunction that means “with regard to this,” referring to what is stated in the preceding sentence."
Advanced,っけ,4b3ac71cff618da58adb1c13ee974920646d1211c279d7a80f6be967813e174a,create_new_canonical_candidate,,primary,A colloquial sentence final particle marking a question.
Advanced,であれ,f816734c0f4cdd4f27698af88e4db06ea0c966cca06b528b6fc99239f04e05ff,create_new_canonical_candidate,,primary,A conjunctive phrase that expresses the idea of concession.
Advanced,てはいられない,340783c37064b8f89571c279c09564895054b971d5b3554abb7d17d82274c6d4,create_new_canonical_candidate,,primary,A phrase that is used when someone cannot be doing something or be in some state due to a given situation.
Advanced,てばかりはいられない,eb9c017a7b3cac4d0d169155c781c6eaff6482b5a625110007ef0f16ff0e83c2,create_new_canonical_candidate,,primary,A phrase representing the idea that someone cannot just keep doing something or waste time being consumed by some emotion.
Advanced,でも・じゃあるまいし,4d62dae6cddf1c3f33c260eda7bcea3ef374a3b860dd0c696eede382f6e96d6c,create_new_canonical_candidate,,primary,A phrase expressing the speaker’s belief that someone’s action is based on mistaken identity of himself/herself and also expressing the speaker’s critical comments about someone’s behaviour.
Advanced,て仕方がない,de72b78f0c9b531efadafc5282ee7f2c534be9615daeffb30d1e753a26177807,create_new_canonical_candidate,,primary,A phrase that represents emotions the speaker/writer cannot control or sensations/situations he/she cannot bear.
Advanced,とあって,b2c8a67684f337d5e41a7f64c214de5bd4b3e306231e5b4faf7d3ee37de21def,create_new_canonical_candidate,,primary,"A phrase that introduces a reason when the speaker/writer considers it natural that someone does something or is in some state, or that something takes place for that reason."
Advanced,とあっては,9dfeb0b04f016b33bfdae363e5983dacac543b6b4f0687dac34b8a470ce252c2,create_new_canonical_candidate,,primary,A conditional phrase that indirectly presents a factual situation as a reason.
Advanced,といえども,6d6784384d87055c54c66c162b3febf0e2431ef6cac89dfac37dde36e76cdcb1,create_new_canonical_candidate,,primary,A conjunction that expresses the idea of “even (though)”.
Advanced,といった,94c062b846a98b0b547a83b905e447724c69b9cac31b7a68e908da9329a5c1c9,create_new_canonical_candidate,,primary,A compound particle that introduces examples.
Advanced,といったところだ,bb353e3ba57904f8ffdfb6f0f89e8e9d5e27c94fb737a3b5a9a09cd4e7da7564,create_new_canonical_candidate,,primary,A phrase the speaker/writer uses to explain something in a brief/rough manner.
Advanced,どうか,8dc5614bbb5f7c4bafd17890de38daaf32b3ea3f26d1ebc1535fded31496c361,create_new_canonical_candidate,,primary,An adverb indicating a polite yet very strong request.
Advanced,どうにも～ない,06100f719099cecd355ab069e8255a5f98f6d72c17fee9395d0e52a4d5926d93,create_new_canonical_candidate,,primary,"A structure indicating that no matter how hard someone may try, something is impossible."
Advanced,ところから,611b22a1124f01941ec502f752f0ad23c25588b994896c74dacd572fb17bf067,create_new_canonical_candidate,,primary,"A phrase that introduces the origins of names, theories, ideas and events."
Advanced,どころではない,cb9ef9f9c5f7a0956f06e7e620a4900212e13fea1fe895c14c239db0fcc7bbe2,create_new_canonical_candidate,,primary,A phrase indicating that an action/state is simply impossible due to an adverse situation.
Advanced,どちらかと言うと,6d13348f92bf34350ae16f57b8015c6f47119ada00527fd3ec1e98a41a18d701,create_new_canonical_candidate,,primary,A phrase indicating that the speaker/writer chooses one alternative over another in a tentative way.
Advanced,とても～ない,1161143efc45c11d3fb8ed5650b7ced023093090bcc6df5490449a1a385265bc,create_new_canonical_candidate,,primary,"A structure that is used to deny emphatically the ability of someone/something or possibility of an event, state or action"
Advanced,とでも言うべき,d92b9ac1a27ab75ea58cfb4e8488d2fe61b682f056f827e5e8216d622ee30ce2,create_new_canonical_candidate,,primary,A phrase that introduces a noun (or noun phrase) to describe the nature of someone or something.
