canonical,meaning,summary,formation,usage,nuance
使役形,causative,Verb morphology meaning make/let someone do.,verb causative form,"Use for permission, coercion, or causing an action.",Particles depend on transitivity and whether the causee is allowed or made to act.
〜か（埋め込み疑問）,whether; what/where/etc.,Embeds a question inside a larger sentence.,question clause + か,Use after question words or yes/no question clauses.,The embedded clause does not use sentence-final question intonation.
〜と（条件）,when; whenever; if,"Conditional used for automatic, habitual, or inevitable results.",普通形 + と,"Use for natural consequences, instructions, and recurring results.",Generally unsuitable when the result is a speaker-controlled command/request/intention.
〜といい,I hope; it would be good if,Expresses a desirable outcome or mild wish.,普通形 + といい,Use for hopes and wishes; variants differ by whose wish is expressed.,〜といいですね often expresses a shared or other-person-oriented hope.
〜ために,in order to; for the purpose of,Marks a purpose pursued intentionally.,V辞書形 / Nの + ために,Use when the subject intentionally acts toward a goal.,Often requires the same controlling subject across clauses.
〜まで,until; as far as,"Marks an endpoint in time, space, or range.",N / clause + まで,Use for continuation up to an endpoint.,"Contrasts with までに, which marks a deadline."
〜までに,by; by the time,Marks a deadline before which an event must occur.,N / clause + までに,Use for completion before an endpoint.,Does not mean an action continues continuously until that point.
〜なさい,do...,"Mild command form, often used by someone with authority or care toward someone lower/younger.",Vます-stem + なさい,"Use in instructions, parental/teacher commands, and set directives.",Not appropriate upward in status.
使役受身形,causative-passive,Verb morphology meaning be made/forced to do.,verb causative-passive form,"Use when the subject is caused to perform an action, often unwillingly.",Commonly conveys burden or lack of control.
まだ／もう,still / already; no longer,Aspectual adverbs that locate a situation relative to an expected change.,まだ / もう + predicate,Use まだ for continuation/non-completion and もう for change/completion.,"With negative predicates, もう often means 'no longer' and まだ means 'not yet'."
〜のに,although; despite,Marks a fact that contrasts with an unexpected result.,普通形 + のに,Use for concessive contrast and often speaker surprise/frustration.,な-adjectives/nouns use な before のに.
〜はず,should; expected to,Expresses an expectation based on reasoning or known facts.,普通形 + はずだ,Use when the speaker has grounds to expect something.,Negative and past forms express expected non-occurrence or failed expectation.
敬語,honorific language,System of Japanese forms used to manage social distance and respect.,尊敬語・謙譲語・丁寧語,Use according to the social relationship and whose actions are being described.,Not a single conjugation; it is a system of viewpoint and social positioning.
丁寧表現,courteous expressions,Polite formulae and choices used to make interaction appropriately respectful.,polite/courteous forms,"Use in formal service, institutional, and unfamiliar-person interactions.","Courtesy can involve vocabulary, set phrases, and indirectness as well as です／ます."
〜でしょうか,could it be; would you...,Very polite question ending using でしょうか.,clause + でしょうか,Use to make questions softer and more formal.,More deferential than plain ですか in many contexts.
尊敬語,honorific language for others,Raises the person whose action/state is being described.,honorific verb / お〜になる / れる・られる,Use for actions of people to whom respect is shown.,Do not use to elevate your own actions.
謙譲語,humble language,Lowers the speaker or in-group action relative to a respected other.,humble verb / お・ご〜する,Use for speaker/in-group actions connected to a respected person.,Viewpoint is crucial: the actor is usually the speaker or in-group.
お〜ください／ご〜ください,please do,Respectful request pattern built with honorific お/ご + verbal noun/stem + ください.,お + Vます-stem + ください / ご + VN + ください,Use for formal requests and instructions.,Choice of お or ご depends on lexical convention.
〜ても,even if; even though,Concessive conditional indicating the result holds despite the condition.,Vて / Aくて / N・Aで + も,Use when the main result is unaffected by the condition.,"Contrasts with のに, which presents an actual fact and unexpected outcome."
〜ようになる,come to; reach the point where,"Expresses a change into a new ability, habit, or state.",V辞書形 / Vない + ようになる,Use for gradual or achieved change not framed as a direct deliberate decision.,Often translates as 'come to be able to' or 'come to do'.
〜ことにする,decide to,Expresses a deliberate decision by the subject.,V辞書形 / Vない + ことにする,Use for a conscious decision.,〜ことにしている expresses an ongoing policy or repeated personal rule.
〜なら,if; if it is the case that,Conditional that takes a given/assumed topic or premise as the basis for a response.,普通形 / N + なら,"Use when responding to information, assumptions, or a topic under discussion.",Often suitable for advice based on the stated premise.
〜だろう,probably; I suppose,Expresses conjecture or probability.,普通形 + だろう,Use for inference/prediction; でしょう is the polite counterpart.,Strength varies with intonation and context.
〜時に,when; at the time when,Marks a time point with 時 plus に.,普通形 + 時に,Use when 時 functions as a time noun marked by に.,Whether に appears depends on the temporal structure of the sentence.
〜から（理由）,because; since,Explicitly presents a cause or reason.,普通形 + から,Use when the speaker states a reason directly.,Often more assertive/direct than 〜ので.
〜けれど／〜けど,but; although,Connects a clause to contrasting or background information.,普通形 + けれど／けど,"Use for contrast, softening, or leaving an implication unfinished.",けど is common in conversation; けれど is less casual.
〜なくて,not doing/being and; because not,Negative て-form used to connect states or causes.,Vなくて / Aくなくて,Use to link negative states or give a cause.,"Unlike 〜ないで, it does not normally mean 'without deliberately doing'."
〜そうだ（様態）,looks; seems likely,Expresses an impression based on appearance or immediate evidence.,Vます-stem / adjective stem + そうだ,Use for what appears likely or looks a certain way.,Formation differs from hearsay 〜そうだ.
〜ことができる,can; be able to,Expresses ability or possibility using a nominalized verb plus できる.,V辞書形 + ことができる,Use as an analytic alternative to the potential form.,Often more explicit/formal than the morphological potential.
〜だけ,only; just,Limits the scope to the marked item or amount.,N / clause + だけ,Use for neutral limitation.,"Unlike しか, it does not require a negative predicate."
〜の（名詞化）,the act/fact of; nominalizer,Turns a clause into a noun-like unit using の.,普通形 + の,Use especially for concrete/perceptual/eventive nominalization.,Often more conversational or immediate than こと.
行く,go,Basic motion verb whose deictic viewpoint also underlies auxiliary 〜ていく.,placeへ/に + 行く,Use for movement away from the speaker's current/reference viewpoint.,Japanese viewpoint may differ from English go/come choices.
来る,come,Basic motion verb whose deictic viewpoint also underlies auxiliary 〜てくる.,placeへ/に + 来る,Use for movement toward the speaker's current/reference viewpoint.,Japanese viewpoint may differ from English go/come choices.
あげる,give,Giving verb viewed from the giver toward another person.,giverが recipientに thingを あげる,Use for giving from the speaker/in-group outward.,Social relationship affects appropriateness.
くれる,give me/us,Giving verb for something given to the speaker or speaker's in-group.,giverが speaker/in-groupに thingを くれる,Use when the recipient is inside the speaker's viewpoint.,Encodes beneficiary viewpoint.
もらう,receive,Receiving verb viewed from the recipient.,recipientが giverに/から thingを もらう,Use when the recipient receives something or a favor.,Forms the basis of 〜てもらう.
Vます形＋に行く／来る,go/come to do,Uses a verb stem plus に with a motion verb to express purpose of movement.,Vます-stem + に + 行く／来る,Use when movement is made in order to perform the stem action.,The movement verb keeps its ordinary deictic viewpoint.
〜てもいい,may; it is okay to,Expresses permission.,Vて + もいい,Use to give or ask permission.,Question form 〜てもいいですか asks permission.
〜は（主題）,as for; topic marker,Marks the topic or a contrastive frame for the sentence.,N + は,Use to establish what the statement is about or to contrast alternatives.,Topic marking is not identical to grammatical subject marking.
〜が（主語）,subject marker,"Marks a grammatical subject, often introducing or identifying information.",N + が,"Use for subjects, especially focus/new information and many subordinate-clause subjects.",Choice between は and が depends on information structure as well as syntax.
